dish_name,category,price_vnd_k,filename,prompt_used,actual_resolution,status
French Fries,Small Plates & Bar Bites,125,small-plates-bar-bites/french-fries.png,"A premium editorial food photograph of French Fries: crispy golden fries seasoned with sea salt A generous, abundant heap of fries piled high and spread across the plate exactly as full and wide as a portion of peri peri fries, light dusting of sea salt flakes. The sauce well is filled with plain tomato ketchup only — no aioli, no other dip. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok
Peri Peri Fries,Small Plates & Bar Bites,135,small-plates-bar-bites/peri-peri-fries.png,"A premium editorial food photograph of Peri Peri Fries: crispy fries tossed in spicy peri peri seasoning A generous, abundant heap of fries with a vivid red-orange peri peri dusting, piled high and spread across the plate, sauce well filled with a creamy dip, fresh curry leaf garnish. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok
Masala Peanut Bowl,Small Plates & Bar Bites,75,small-plates-bar-bites/masala-peanut-bowl.png,"A premium editorial food photograph of Masala Peanut Bowl: roasted peanuts tossed with curry leaves and aromatic spices Glossy roasted peanuts flecked with crispy fried curry leaves and mustard seeds, generously filling the bowl. No sauce, no dip, no lemon wedge. Presented in a small plain matte white ceramic bowl, round with a simple smooth rim and no handles — a plain, unadorned small white bowl, exactly like a simple everyday side-dish bowl (NOT the speckled cream two-handled bowl used for other dishes). Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Crispy Bhindi,Small Plates & Bar Bites,149,small-plates-bar-bites/crispy-bhindi.png,"A premium editorial food photograph of Crispy Bhindi: crispy finger-cut okra strips coated in light besan batter, deep-fried to golden perfection Thin golden okra strips piled loosely for height and crunch, a few whole dried red chillies scattered nearby. No sauce, no dip of any kind — the plate is plain with no built-in well. Presented on a plain matte white/cream ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a subtle organic hand-thrown rim texture, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2268x1856,ok (pre-existing)
Samosa with Mint Chutney,Small Plates & Bar Bites,119,small-plates-bar-bites/samosa-with-mint-chutney.png,"A premium editorial food photograph of Samosa with Mint Chutney: spiced potato pastry served with fresh mint chutney Two large, generously sized golden triangular samosas with visible flaky layers, sauce well filled with vivid green mint chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok
Hara Bhara Kebab,Small Plates & Bar Bites,165,small-plates-bar-bites/hara-bhara-kebab.png,"A premium editorial food photograph of Hara Bhara Kebab: spinach and pea kebabs served with mint chutney Large, generously sized deep green herbed kebab patties with a lightly charred crust, thin red onion rings on the side, sauce well filled with mint chutney. Presented on a matte white/off-white ceramic oval plate (NOT dark, NOT black, NOT charcoal - the plate itself is white/cream colored) with a small built-in triangular sauce well on one side holding a matching chutney or dip, exactly like the reference plate provided. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2438x1728,ok
Chilli Paneer,Small Plates & Bar Bites,199,small-plates-bar-bites/chilli-paneer.png,"A premium editorial food photograph of Chilli Paneer: cottage cheese cubes tossed in a spicy Indo-Chinese chilli sauce with bell peppers, onions and spring onions A generous, abundant portion filling the bowl completely: glossy red-brown sauce coating golden-fried paneer cubes with vivid red and green bell pepper pieces and scattered spring onion. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Paneer 65,Small Plates & Bar Bites,199,small-plates-bar-bites/paneer-65.png,"A premium editorial food photograph of Paneer 65: crispy cottage cheese tossed with curry leaves, garlic and South Indian spices A generous, abundant portion filling the bowl completely: bright red-orange crispy paneer cubes flecked with fried curry leaves and garlic slivers. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Honey Chilli Potato,Small Plates & Bar Bites,150,small-plates-bar-bites/honey-chilli-potato.png,"A premium editorial food photograph of Honey Chilli Potato: crispy potato fingers tossed in honey, chilli and aromatic spices A generous, large portion mounded high and filling the bowl completely: glossy honey-glazed potato fingers with sesame seeds and scattered spring onion. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok
Gobhi 65,Small Plates & Bar Bites,165,small-plates-bar-bites/gobhi-65.png,"A premium editorial food photograph of Gobhi 65: crispy cauliflower florets tossed with aromatic spices and curry leaves Bright red-orange crispy cauliflower florets flecked with fried curry leaves. Presented in a round shallow ceramic bowl with a warm cream/tan speckled glaze, a wide flared rim, and two small integrated loop handles on opposite sides (a compact rounded serving bowl, approximately 19.5cm wide across the handles, 16cm bowl diameter, 5.5cm tall). No sauce well, no dip, no side sauce of any kind — the dish itself is glossy and saucy, served with nothing extra beside it. Bright, premium, LIGHT and WHITE studio background: clean white seamless backdrop, soft even studio lighting, minimal soft shadow, high-end editorial food/product photography look. Shallow depth of field, tack-sharp focus on the food with a softly blurred background. Natural, fresh garnish exactly as described. No text, no logos, no hands, no plate labels, no watermarks. Photorealistic, professional restaurant menu photography, ultra-detailed, 2K quality.",2816x1536,ok (pre-existing)
